hs6,io185_name,io52_idx,io52_name
900219,OthElecEqp,23,MetalProd
900220,OthElecEqp,23,MetalProd
900290,OthElecEqp,23,MetalProd
900311,MedicalDvces,27,OtherMan
900319,MedicalDvces,27,OtherMan
900390,MedicalDvces,27,OtherMan
900410,MedicalDvces,27,OtherMan
900490,MedicalDvces,27,OtherMan
900510,Instruments,23,MetalProd
900580,Instruments,23,MetalProd
900590,Instruments,23,MetalProd
900630,Instruments,23,MetalProd
900640,Instruments,23,MetalProd
900651,Instruments,23,MetalProd
900652,Instruments,23,MetalProd
900659,Instruments,23,MetalProd
900661,Instruments,23,MetalProd
900669,Instruments,23,MetalProd
900691,Instruments,23,MetalProd
900699,Instruments,23,MetalProd
900710,Instruments,23,MetalProd
900720,Instruments,23,MetalProd
900791,Instruments,23,MetalProd
900792,Instruments,23,MetalProd
900850,Instruments,23,MetalProd
900890,Instruments,23,MetalProd
901010,Instruments,23,MetalProd
901050,Instruments,23,MetalProd
901060,Instruments,23,MetalProd
901090,Instruments,23,MetalProd
901110,Instruments,23,MetalProd
901120,Instruments,23,MetalProd
901180,Instruments,23,MetalProd
901190,Instruments,23,MetalProd
901210,Instruments,23,MetalProd
901290,Instruments,23,MetalProd
901310,Instruments,23,MetalProd
901320,Instruments,23,MetalProd
901380,Instruments,23,MetalProd
901390,ElectroncPrd,23,MetalProd
901410,Instruments,23,MetalProd
901420,Instruments,23,MetalProd
901480,Instruments,23,MetalProd
901490,Instruments,23,MetalProd
901510,Instruments,23,MetalProd
901520,Instruments,23,MetalProd
901530,Instruments,23,MetalProd
901580,Instruments,23,MetalProd
901590,Instruments,23,MetalProd
901600,Instruments,23,MetalProd
901710,Instruments,23,MetalProd
901720,Instruments,23,MetalProd
901730,Instruments,23,MetalProd
901780,Instruments,23,MetalProd
901790,Instruments,23,MetalProd
901811,Instruments,23,MetalProd
901812,Instruments,23,MetalProd
901813,Instruments,23,MetalProd
901814,Instruments,23,MetalProd
901819,Instruments,23,MetalProd
901820,Instruments,23,MetalProd
901831,MedicalDvces,27,OtherMan
901832,MedicalDvces,27,OtherMan
901839,MedicalDvces,27,OtherMan
901841,MedicalDvces,27,OtherMan
901849,MedicalDvces,27,OtherMan
901850,MedicalDvces,27,OtherMan
901890,MedicalDvces,27,OtherMan
901910,MedicalDvces,27,OtherMan
901920,MedicalDvces,27,OtherMan
902000,MedicalDvces,27,OtherMan
902110,MedicalDvces,27,OtherMan
902121,MedicalDvces,27,OtherMan
902129,MedicalDvces,27,OtherMan
902139,MedicalDvces,27,OtherMan
902140,Instruments,23,MetalProd
902190,Instruments,23,MetalProd
902212,Instruments,23,MetalProd
902213,Instruments,23,MetalProd
902214,Instruments,23,MetalProd
902219,Instruments,23,MetalProd
902221,Instruments,23,MetalProd
902229,Instruments,23,MetalProd
902230,Instruments,23,MetalProd
