country,year,ngdp_rpch
ARE,2012,4.7
ARE,2013,4.9
ARE,2014,4.6
ARE,2015,7.1
ARE,2016,5.7
ARE,2017,-1.1
ARE,2018,1.5
ARE,2019,1.3
ARE,2020,-8.7
ARE,2021,4.6
ARE,2022,7.5
ARE,2023,4.3
ARE,2024,4.0
ARE,2025,5.8
ARE,2026,3.1
ARE,2027,5.3
ARE,2028,4.6
ARE,2029,4.4
ARE,2030,4.0
ARE,2031,4.0
ARG,1980,0.7
ARG,1981,-5.7
ARG,1982,-3.1
ARG,1983,3.7
ARG,1984,2.0
ARG,1985,-7.0
ARG,1986,7.1
ARG,1987,2.5
ARG,1988,-2.0
ARG,1989,-7.0
ARG,1990,-1.3
ARG,1991,10.5
ARG,1992,10.3
ARG,1993,6.3
ARG,1994,5.8
ARG,1995,-2.8
ARG,1996,5.5
ARG,1997,8.1
ARG,1998,3.9
ARG,1999,-3.4
ARG,2000,-0.8
ARG,2001,-4.4
ARG,2002,-10.9
ARG,2003,9.0
ARG,2004,8.9
ARG,2005,8.9
ARG,2006,8.0
ARG,2007,9.0
ARG,2008,4.1
ARG,2009,-5.9
ARG,2010,10.1
ARG,2011,6.0
ARG,2012,-1.0
ARG,2013,2.4
ARG,2014,-2.5
ARG,2015,2.7
ARG,2016,-2.1
ARG,2017,2.8
ARG,2018,-2.6
ARG,2019,-2.0
ARG,2020,-9.9
ARG,2021,10.4
ARG,2022,6.0
ARG,2023,-1.9
ARG,2024,-1.3
ARG,2025,4.4
ARG,2026,3.5
ARG,2027,4.0
ARG,2028,3.8
ARG,2029,3.5
ARG,2030,3.2
ARG,2031,3.0
ARM,1993,-14.1
ARM,1994,5.4
ARM,1995,8.2
ARM,1996,5.9
ARM,1997,3.2
ARM,1998,7.3
ARM,1999,3.4
ARM,2000,5.6
ARM,2001,9.6
ARM,2002,14.8
ARM,2003,14.0
ARM,2004,10.4
ARM,2005,13.8
ARM,2006,13.2
ARM,2007,13.7
ARM,2008,6.9
ARM,2009,-14.1
ARM,2010,2.2
ARM,2011,4.7
ARM,2012,7.1
ARM,2013,3.4
ARM,2014,3.6
ARM,2015,3.3
ARM,2016,0.2
ARM,2017,7.5
ARM,2018,5.2
ARM,2019,7.6
ARM,2020,-7.1
ARM,2021,5.8
ARM,2022,12.6
ARM,2023,8.3
ARM,2024,5.9
ARM,2025,7.2
ARM,2026,5.3
ARM,2027,5.5
ARM,2028,5.0
ARM,2029,5.0
ARM,2030,5.0
ARM,2031,5.0
AS5,1980,7.6
AS5,1981,6.5
AS5,1982,3.9
AS5,1983,4.5
AS5,1984,4.6
AS5,1985,1.3
AS5,1986,5.2
AS5,1987,7.0
AS5,1988,9.0
AS5,1989,9.4
AS5,1990,8.8
AS5,1991,7.5
AS5,1992,6.7
AS5,1993,7.9
AS5,1994,7.7
AS5,1995,7.9
AS5,1996,7.3
AS5,1997,3.7
AS5,1998,-8.7
AS5,1999,3.1
AS5,2000,5.6
AS5,2001,2.7
AS5,2002,4.9
AS5,2003,5.5
AS5,2004,6.2
AS5,2005,5.3
AS5,2006,5.7
AS5,2007,6.4
AS5,2008,4.9
AS5,2009,1.9
AS5,2010,7.6
AS5,2011,4.6
AS5,2012,6.2
AS5,2013,4.9
AS5,2014,4.4
AS5,2015,4.6
AS5,2016,4.8
AS5,2017,5.2
AS5,2018,4.9
AS5,2019,4.2
AS5,2020,-4.4
AS5,2021,4.1
AS5,2022,5.5
AS5,2023,4.1
AS5,2024,4.8
AS5,2025,4.5
AS5,2026,4.1
AS5,2027,4.4
AS5,2028,4.5
AS5,2029,4.5
AS5,2030,4.6
AS5,2031,4.6
ATG,1980,8.2
ATG,1981,3.8
ATG,1982,-0.1
ATG,1983,5.4
ATG,1984,10.2
ATG,1985,7.6
ATG,1986,11.5
ATG,1987,6.6
ATG,1988,5.2
