sector_52,sector_name,country_iso,country_name,export_usd,sector_total,w_kc
3,Estates,BGR,Bulgaria,1402798.138,1893945408.763,0.0007406750646082
3,Estates,BHR,Bahrain,672724.45,1893945408.763,0.0003551973815546
3,Estates,BLR,Belarus,43928.63,1893945408.763,2.319424297910005e-05
3,Estates,BRA,Brazil,11406370.008,1893945408.763,0.0060225442376662
3,Estates,BRN,Brunei Darussalam,46963.06,1893945408.763,2.479641693087298e-05
3,Estates,CAN,Canada,22203951.959,1893945408.763,0.0117236494020712
3,Estates,CHE,Switzerland,113954.365,1893945408.763,6.016771363775869e-05
3,Estates,CHL,Chile,2093138.42,1893945408.763,0.00110517357592
3,Estates,CHN,China,253440107.006,1893945408.763,0.1338159515228743
3,Estates,CIV,Côte d'Ivoire,272000.0,1893945408.763,0.0001436155439018
3,Estates,CMR,Cameroon,134657.31,1893945408.763,7.109883388241336e-05
3,Estates,COD,Dem. Rep. of the Congo,289384.381,1893945408.763,0.0001527944679192
3,Estates,COG,Congo,41827.1,1893945408.763,2.208463866301125e-05
3,Estates,COL,Colombia,655572.55,1893945408.763,0.0003461412071154
3,Estates,CPV,Cabo Verde,142286.8,1893945408.763,7.512719180904602e-05
3,Estates,CRI,Costa Rica,302735.85,1893945408.763,0.000159844021163
3,Estates,CYP,Cyprus,16488.0,1893945408.763,8.705636352406203e-06
3,Estates,CZE,Czechia,241970.277,1893945408.763,0.0001277599005126
3,Estates,DEU,Germany,62435274.575,1893945408.763,0.0329657202821799
3,Estates,DJI,Djibouti,837918.39,1893945408.763,0.0004424195048722
3,Estates,DNK,Denmark,724356.58,1893945408.763,0.0003824590596162
3,Estates,DOM,Dominican Rep.,16163050.185,1893945408.763,0.0085340633949722
3,Estates,DZA,Algeria,14091874.98,1893945408.763,0.0074404863597435
3,Estates,ECU,Ecuador,121505.43,1893945408.763,6.415466329589685e-05
3,Estates,EGY,Egypt,88154789.189,1893945408.763,0.0465455808710858
3,Estates,ESP,Spain,12841687.246,1893945408.763,0.0067803893325454
3,Estates,EST,Estonia,479238.76,1893945408.763,0.0002530372616774
3,Estates,ETH,Ethiopia,307894.0,1893945408.763,0.0001625675157137
3,Estates,FIN,Finland,279408.38,1893945408.763,0.0001475271561192
3,Estates,FRA,France,12262844.674,1893945408.763,0.0064747614251507
3,Estates,GBR,United Kingdom,22465123.155,1893945408.763,0.0118615473556192
3,Estates,GEO,Georgia,29536492.73,1893945408.763,0.0155952186337257
3,Estates,GRC,Greece,5184381.34,1893945408.763,0.0027373446541873
3,Estates,GTM,Guatemala,1696776.01,1893945408.763,0.0008958948880729
3,Estates,HKG,"China, Hong Kong SAR",2699532.652,1893945408.763,0.0014253487135952
3,Estates,HND,Honduras,939692.145,1893945408.763,0.0004961558768548
3,Estates,HRV,Croatia,336693.85,1893945408.763,0.0001777737882212
3,Estates,HTI,Haiti,1063890.8,1893945408.763,0.0005617325584346
3,Estates,HUN,Hungary,1057265.208,1893945408.763,0.0005582342569686
3,Estates,IND,India,125233282.161,1893945408.763,0.0661229629859258
3,Estates,IRL,Ireland,1010390.38,1893945408.763,0.0005334844263858
3,Estates,IRN,Iran,9717442.584,1893945408.763,0.0051307933898405
3,Estates,IRQ,Iraq,4967452.120999999,1893945408.763,0.002622806390309
3,Estates,ISR,Israel,1423687.14,1893945408.763,0.0007517044226369
3,Estates,ITA,Italy,51875457.021,1893945408.763,0.0273901543207001
3,Estates,JOR,Jordan,1614038.45,1893945408.763,0.0008522095951298
3,Estates,JPN,Japan,77583837.354,1893945408.763,0.0409641360279083
3,Estates,KAZ,Kazakhstan,292675.0,1893945408.763,0.0001545319092334
3,Estates,KEN,Kenya,83885.0,1893945408.763,4.4291139339009847e-05
3,Estates,KGZ,Kyrgyzstan,16443.75,1893945408.763,8.682272426605987e-06
3,Estates,KHM,Cambodia,348962.86,1893945408.763,0.0001842518049281
3,Estates,KIR,Kiribati,46.049,1893945408.763,2.4313794783597362e-08
3,Estates,KOR,Rep. of Korea,17669089.449,1893945408.763,0.0093292496009904
3,Estates,KWT,Kuwait,866035.1699999999,1893945408.763,0.0004572651175651
3,Estates,LAO,Lao People's Dem. Rep.,75.0,1893945408.763,3.9599874237655584e-08
3,Estates,LBN,Lebanon,2770622.41,1893945408.763,0.0014628839866137
3,Estates,LBY,Libya,479455.0,1893945408.763,0.0002531514360348
3,Estates,LKA,Sri Lanka,15634095.855,1893945408.763,0.0082547763956993
3,Estates,LTU,Lithuania,295387.08,1893945408.763,0.0001559638829257
3,Estates,LVA,Latvia,558468.92,1893945408.763,0.0002948706533018
3,Estates,MAC,"China, Macao SAR",469424.4,1893945408.763,0.0002478552960544
3,Estates,MAR,Morocco,21839407.15,1893945408.763,0.0115311703541994
3,Estates,MDV,Maldives,46681.380000000005,1893945408.763,2.464769036320281e-05
3,Estates,MEX,Mexico,3391557.39,1893945408.763,0.0017907366148505
3,Estates,MKD,North Macedonia,8827.65,1893945408.763,4.660984397520537e-06
3,Estates,MLT,Malta,76510.0,1893945408.763,4.039715170564039e-05
3,Estates,MMR,Myanmar,786988.4,1893945408.763,0.0004155285555532
3,Estates,MNE,Montenegro,16900.0,1893945408.763,8.923171661551726e-06
3,Estates,MUS,Mauritius,252014.99,1893945408.763,0.0001330634921333
3,Estates,MYS,Malaysia,167000943.284,1893945408.763,0.08817621802155
3,Estates,NCL,New Caledonia,333.03,1893945408.763,1.7583928156488585e-07
3,Estates,NGA,Nigeria,1619014.516,1893945408.763,0.0008548369496338
3,Estates,NIC,Nicaragua,5492453.409,1893945408.763,0.0029000061900344
3,Estates,NLD,Netherlands,34542595.649,1893945408.763,0.0182384325805678
3,Estates,NOR,Norway,691203.97,1893945408.763,0.0003649545371275
3,Estates,NPL,Nepal,2897669.3000000003,1893945408.763,0.0015299645314975
3,Estates,NZL,New Zealand,3533439.334,1893945408.763,0.0018656500433704
3,Estates,OMN,Oman,566910.51,1893945408.763,0.0002993277986667
3,Estates,PAK,Pakistan,12404850.61,1893945408.763,0.0065497403212387
3,Estates,PER,Peru,4976402.94,1893945408.763,0.0026275324077319
3,Estates,PHL,Philippines,43632200.15,1893945408.763,0.0230377285153628
3,Estates,PNG,Papua New Guinea,47109.078,1893945408.763,2.4873514190025435e-05
3,Estates,POL,Poland,9044434.964,1893945408.763,0.0047754464950007
3,Estates,PRT,Portugal,7899849.021,1893945408.763,0.0041711070363742
3,Estates,PRY,Paraguay,577301.88,1893945408.763,0.0003048144246021
3,Estates,PYF,French Polynesia,10.0,1893945408.763,5.279983231687411e-09
3,Estates,QAT,Qatar,1761922.642,1893945408.763,0.000930292200529
3,Estates,ROU,Romania,1361273.335,1893945408.763,0.0007187500382543
3,Estates,RUS,Russian Federation,30046154.153,1893945408.763,0.0158643190104535
3,Estates,S19,"Other Asia, nes",25395872.48,1893945408.763,0.0134089780848471
3,Estates,SAU,Saudi Arabia,19059149.323,1893945408.763,0.0100631988835666
