sector_52,country_iso,country_name,export_usd,sector_total,w_kc
3,GNQ,Equatorial Guinea,8688019.01,28451802106.184,0.00030535918173392815
3,GRC,Greece,102132450.904,28451802106.184,0.003589665446246075
3,GRD,Grenada,292393.55,28451802106.184,1.0276802464348937e-05
3,GTM,Guatemala,2504232.37,28451802106.184,8.801665218442192e-05
3,GUY,Guyana,1328287.695,28451802106.184,4.6685538232086075e-05
3,HKG,"China, Hong Kong SAR",3814670.18,28451802106.184,0.00013407481767809996
3,HND,Honduras,23685165.36,28451802106.184,0.0008324662624745316
3,HRV,Croatia,40581155.646,28451802106.184,0.0014263123121181728
3,HTI,Haiti,128027307.85,28451802106.184,0.004499796089266812
3,HUN,Hungary,1225038.41,28451802106.184,4.305661924078046e-05
3,IND,India,4544993702.591,28451802106.184,0.15974361432814638
3,IRL,Ireland,72501.4,28451802106.184,2.5482182017652166e-06
3,IRN,Iran,11001331.68,28451802106.184,0.0003866655489498453
3,IRQ,Iraq,66462690.432,28451802106.184,0.0023359747190690016
3,ISL,Iceland,882671.8,28451802106.184,3.1023405712784404e-05
3,ISR,Israel,44113817.0,28451802106.184,0.0015504753208729742
3,ITA,Italy,480830900.45,28451802106.184,0.01689983989961365
3,JAM,Jamaica,5250852.25,28451802106.184,0.00018455253661625628
3,JOR,Jordan,19800036.36,28451802106.184,0.0006959150174778019
3,JPN,Japan,115481067.368,28451802106.184,0.004058831385689281
3,KAZ,Kazakhstan,8124497.83,28451802106.184,0.0002855530134674366
3,KEN,Kenya,298597558.29,28451802106.184,0.010494855727437379
3,KGZ,Kyrgyzstan,639604.56,28451802106.184,2.248028288728263e-05
3,KHM,Cambodia,1257036.23,28451802106.184,4.4181251693958016e-05
3,KIR,Kiribati,452222.64,28451802106.184,1.5894340833395206e-05
3,KNA,Saint Kitts and Nevis,22140.72,28451802106.184,7.781833965163042e-07
3,KOR,Rep. of Korea,307921260.916,28451802106.184,0.010822557382018108
3,KWT,Kuwait,801085.55,28451802106.184,2.8155880847557424e-05
3,LBN,Lebanon,13365929.97,28451802106.184,0.00046977445998385163
3,LBR,Liberia,20545898.73,28451802106.184,0.0007221299604616029
3,LBY,Libya,5073473.43,28451802106.184,0.00017831817510418013
3,LCA,Saint Lucia,547919.71,28451802106.184,1.925782092660168e-05
3,LKA,Sri Lanka,85754357.308,28451802106.184,0.003014021993684586
3,LTU,Lithuania,5182599.275,28451802106.184,0.00018215363848160475
3,LVA,Latvia,29585725.8,28451802106.184,0.0010398541958637321
3,MAR,Morocco,39034317.99,28451802106.184,0.0013719453637531063
3,MDA,Rep. of Moldova,375674.4,28451802106.184,1.3203887704475043e-05
3,MDG,Madagascar,1461960.79,28451802106.184,5.13837676975211e-05
3,MDV,Maldives,811507.06,28451802106.184,2.852216731198264e-05
3,MEX,Mexico,64675932.4,28451802106.184,0.0022731752512064143
3,MHL,Marshall Isds,203094.0,28451802106.184,7.13817702098587e-06
3,MKD,North Macedonia,1319334.33,28451802106.184,4.637085289276783e-05
3,MLI,Mali,487564.7,28451802106.184,1.713651382012206e-05
3,MLT,Malta,8717815.89,28451802106.184,0.00030640645739994036
3,MMR,Myanmar,529779978.063,28451802106.184,0.018620260891940212
3,MNE,Montenegro,676876.33,28451802106.184,2.3790279697358113e-05
3,MNG,Mongolia,85447.85,28451802106.184,3.003249132729906e-06
3,MNP,N. Mariana Isds,64619.0,28451802106.184,2.2711742391163004e-06
3,MOZ,Mozambique,69064251.05,28451802106.184,0.002427412182618439
3,MRT,Mauritania,129278750.92,28451802106.184,0.0045437807572793875
3,MUS,Mauritius,1456323.48,28451802106.184,5.1185632269088084e-05
3,MWI,Malawi,253159.5,28451802106.184,8.89783708797046e-06
3,MYS,Malaysia,1223711442.444,28451802106.184,0.04300998010168313
3,NAM,Namibia,106191.0,28451802106.184,3.73231191485475e-06
3,NCL,New Caledonia,47141.8,28451802106.184,1.6569003194969408e-06
3,NER,Niger,4432669.95,28451802106.184,0.0001557957535855544
3,NGA,Nigeria,160818297.87,28451802106.184,0.005652306214903912
3,NLD,Netherlands,548601639.222,28451802106.184,0.01928178880109536
3,NOR,Norway,35595.6,28451802106.184,1.2510841973086583e-06
3,NPL,Nepal,2488490.41,28451802106.184,8.746336702022565e-05
