id,id_label,sector_52,emp
1700,BENGKULU,6,2369
1700,BENGKULU,7,8332
1700,BENGKULU,8,4375
1700,BENGKULU,9,166
1700,BENGKULU,10,10196
1700,BENGKULU,12,32173
1700,BENGKULU,14,7631
1700,BENGKULU,16,1690
1700,BENGKULU,17,1371
1700,BENGKULU,18,1552
1700,BENGKULU,19,359
1700,BENGKULU,20,1884
1700,BENGKULU,22,458
1700,BENGKULU,23,5144
1700,BENGKULU,24,1001
1700,BENGKULU,25,133
1700,BENGKULU,26,2614
1700,BENGKULU,27,4527
1700,BENGKULU,28,2214
1700,BENGKULU,29,81
1700,BENGKULU,30,3248
1700,BENGKULU,31,48060
1700,BENGKULU,32,1540
1700,BENGKULU,33,172023
1700,BENGKULU,35,20296
1700,BENGKULU,36,278
1700,BENGKULU,37,142
1700,BENGKULU,39,10462
1700,BENGKULU,40,1612
1700,BENGKULU,41,49049
1700,BENGKULU,42,4673
1700,BENGKULU,43,6000
1700,BENGKULU,44,47
1700,BENGKULU,46,1316
1700,BENGKULU,47,2499
1700,BENGKULU,48,19732
1700,BENGKULU,49,65046
1700,BENGKULU,50,67632
1700,BENGKULU,51,22315
1800,LAMPUNG,1,805007
1800,LAMPUNG,2,381173
1800,LAMPUNG,3,373757
1800,LAMPUNG,4,271209
1800,LAMPUNG,5,102594
1800,LAMPUNG,6,14671
1800,LAMPUNG,7,73889
1800,LAMPUNG,8,703
1800,LAMPUNG,9,3912
1800,LAMPUNG,10,83835
1800,LAMPUNG,11,137
1800,LAMPUNG,12,213407
1800,LAMPUNG,13,570
1800,LAMPUNG,14,56589
1800,LAMPUNG,15,410
1800,LAMPUNG,16,18126
1800,LAMPUNG,17,10051
1800,LAMPUNG,18,10211
1800,LAMPUNG,20,9535
1800,LAMPUNG,21,3321
1800,LAMPUNG,22,1865
1800,LAMPUNG,23,21452
1800,LAMPUNG,24,11126
1800,LAMPUNG,25,1093
1800,LAMPUNG,26,12080
1800,LAMPUNG,27,18307
1800,LAMPUNG,28,4760
1800,LAMPUNG,29,1902
